ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,Words
157,Russian,russ1263,Russian,rus,Eurasia,59.0,50.0,Indo-European,Slavic,2053
122,Turkish,nucl1301,Turkish,tur,Eurasia,39.8667,32.8667,Altaic,Turkic,1009
153,English,stan1293,English,eng,Eurasia,53.0,-1.0,Indo-European,Germanic,948
159,French,stan1290,French,fra,Eurasia,48.0,2.0,Indo-European,Romance,671
116,Ancient Greek,anci1242,Ionic-Attic Ancient Greek,grc,Eurasia,39.8155,21.9129,Indo-European,Greek,640
158,Spanish,stan1288,Spanish,spa,Eurasia,40.4414,-1.11788,Indo-European,Romance,579
245,Latin,lati1261,Latin,lat,Eurasia,41.9026,12.4502,Indo-European,Italic,577
1093,Serbian,serb1264,Serbian Standard,srp,Eurasia,44.3238,21.9192,Indo-European,Slavic,552
169,German,stan1295,German,deu,Eurasia,48.649,12.4676,Indo-European,Germanic,547
139,Romanian,roma1327,Romanian,ron,Eurasia,46.3913,24.2256,Indo-European,Romance,467
71,Classical Arabic,stan1318,Standard Arabic,arb,Eurasia,27.9625,43.8525,Afro-Asiatic,West Semitic,442
175,Hungarian,hung1274,Hungarian,hun,Eurasia,46.9068585714,19.6555271429,Uralic,Ugric,427
812,Croatian,croa1245,Croatian Standard,hrv,Eurasia,45.555,15.982,Indo-European,Slavic,411
181,Mandarin Chinese,mand1415,Mandarin Chinese,cmn,Eurasia,40.0209,116.228,Sino-Tibetan,Sinitic,404
161,Italian,ital1282,Italian,ita,Eurasia,43.0464,12.6489,Indo-European,Romance,353
149,Sanskrit,sans1269,Sanskrit,san,Eurasia,20.0,77.0,Indo-European,Indo-Iranian,344
304,Tamil,tami1289,Tamil,tam,Eurasia,10.520219,78.825989,Dravidian,South Dravidian,334
119,Amharic,amha1245,Amharic,amh,Africa,11.708182,39.543456,Afro-Asiatic,Ethiosemitic,323
706,Batsbi,bats1242,Bats,bbl,Eurasia,42.1806,45.344,Northeast Caucasian,Nakh,313
109,Mongolian (Khalkha),halh1238,Halh Mongolian,khk,Eurasia,48.32397,106.28874,Altaic,Mongolic,309
24,Norwegian,norw1258,Norwegian,nor,Eurasia,59.92,10.71,Indo-European,Germanic,302
135,Swedish,swed1254,Swedish,swe,Eurasia,59.800634,17.389526,Indo-European,Germanic,301
173,Danish,dani1285,Danish,dan,Eurasia,54.8655,9.36284,Indo-European,Germanic,293
222,Yakut,yaku1245,Sakha,sah,Eurasia,61.69744,133.98031,Altaic,Turkic,287
176,Armenian,nucl1235,Eastern Armenian,hye,Eurasia,40.0,45.0,Indo-European,Armenian,281
171,Polish,poli1260,Polish,pol,Eurasia,51.8439,18.6255,Indo-European,Slavic,280
244,Komi,komi1268,Komi-Zyrian,kpv,Eurasia,64.0527,54.946,Uralic,Finno-Ugric,271
163,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.5157,47.8951,Northeast Caucasian,Lezgic,266
174,Czech,czec1258,Czech,ces,Eurasia,49.873398,15.10437,Indo-European,Slavic,262
252,Icelandic,icel1247,Icelandic,isl,Eurasia,63.4837,-19.0212,Indo-European,Germanic,260
232,Japanese,nucl1643,Japanese,jpn,Eurasia,35.0,135.0,Altaic,Japonic,258
141,Finnish,finn1318,Finnish,fin,Eurasia,64.7628,25.5577,Uralic,Finno-Ugric,253
130,Geez,geez1241,Geez,gez,Africa,10.1342,40.6821,Afro-Asiatic,Ethiosemitic,244
380,Swahili,swah1253,Swahili,swh,Africa,-8.25605,37.624,Atlantic–Congo,Benue–Congo,243
138,Ukrainian,ukra1253,Ukrainian,ukr,Eurasia,49.796,29.945,Indo-European,Slavic,221
260,Tigrinya,tigr1271,Tigrinya,tir,Africa,15.3359,38.9266,Afro-Asiatic,Ethiosemitic,214
110,Bulgarian,bulg1262,Bulgarian,bul,Eurasia,43.3646,25.047,Indo-European,Slavic,213
211,Gagauz,gaga1249,Gagauz,gag,Eurasia,44.59876,28.02769,Altaic,Turkic,212
178,Farsi,fars1254,Farsic-Caucasian Tat,,,,,Indo-European,Indo-Iranian,208
142,Udmurt,udmu1245,Udmurt,udm,Eurasia,56.12921,52.63548,Uralic,Finno-Ugric,207
224,Karaim,kara1464,Karaim,kdr,Eurasia,54.5534,25.1054,Altaic,Turkic,204
257,Tibetan,tibe1272,Tibetan,bod,Eurasia,28.3681,90.1872,Sino-Tibetan,Bodic,195
85,Kannada,nucl1305,Kannada,kan,Eurasia,13.5878,76.1198,Dravidian,South Dravidian,186
117,Portuguese,port1283,Portuguese,por,Eurasia,39.91,-8.1,Indo-European,Romance,186
324,Indonesian,indo1316,Standard Indonesian,ind,Papunesia,-7.33458,109.716,Austronesian,Malayo-Polynesian,184
126,Lithuanian,lith1251,Lithuanian,lit,Eurasia,55.1429,23.9601,Indo-European,Baltic,178
255,Dutch,dutc1256,Dutch,nld,Eurasia,52.0,5.0,Indo-European,Germanic,178
136,Tabassaran,taba1259,Tabasaran,tab,Eurasia,42.0198,47.8379,Northeast Caucasian,Lezgic,177
355,Thai,thai1261,Thai,tha,Eurasia,14.192,100.671,Kra–Dai,Tai,177
371,Khmer,cent1989,Central Khmer,khm,Eurasia,12.0515,105.015,Austroasiatic,Khmeric,175
450,Hill Mari,west2392,Western Mari,mrj,Eurasia,56.22,46.569,Uralic,Finno-Ugric,172
238,Meadow Mari,mari1278,Mari,chm,Eurasia,,,Uralic,Finno-Ugric,170
239,Modern Greek,mode1248,Modern Greek,ell,Eurasia,38.36,23.13,Indo-European,Greek,160
201,Akkadian,akka1240,Akkadian,akk,Eurasia,33.1,44.1,Afro-Asiatic,East Semitic,155
7,Lao,laoo1244,Lao,lao,Eurasia,19.0,102.46,Kra–Dai,Tai,149
219,Erzya,erzy1239,Erzya,myv,Eurasia,52.8548,45.3901,Uralic,Finno-Ugric,147
166,Vietnamese,viet1252,Vietnamese,vie,Eurasia,20.681188,105.774071,Austroasiatic,Vietic,145
242,Belarusan,bela1254,Belarusian,bel,Eurasia,53.2307,25.6038,Indo-European,Slavic,145
60,Burmese,nucl1310,Burmese,mya,Eurasia,20.7926,93.9665,Sino-Tibetan,Lolo-Burmese,141
184,Azerbaijani,mode1262,,,,,,Altaic,Turkic,138
261,Tigre,tigr1270,Tigre,tig,Africa,17.3494,38.2233,Afro-Asiatic,Ethiosemitic,135
179,Kazakh,kaza1248,Kazakh,kaz,Eurasia,51.17,71.454,Altaic,Turkic,129
111,Bashkir,bash1264,Bashkir,bak,Eurasia,53.59671,56.55937,Altaic,Turkic,127
137,Ancient Hebrew,anci1244,Ancient Hebrew,hbo,Eurasia,31.7761,35.1725,Afro-Asiatic,West Semitic,126
330,Malay,stan1306,Standard Malay,zsm,Eurasia,3.08896,101.699,Austronesian,Malayo-Polynesian,125
