Source_ID	Target_ID	Source_CID	Source_Gloss	Target_CID	Target_Gloss	Polysemy	Derivation	Undirected_Polysemy	Undirected_Derivation
2_animal	211_bastard	619	ANIMAL	1947	BASTARD	2	2	0	0
211_bastard	2_animal	1947	BASTARD	619	ANIMAL	0	0	0	0
2_animal	685_coward	619	ANIMAL	1319	COWARD	14	1	1	0
685_coward	2_animal	1319	COWARD	619	ANIMAL	0	0	1	0
2_animal	569_cloud	619	ANIMAL	1489	CLOUD	3	6	0	0
569_cloud	2_animal	1489	CLOUD	619	ANIMAL	0	0	0	0
2_animal	1113_fool	619	ANIMAL	1438	FOOL	30	2	3	0
1113_fool	2_animal	1438	FOOL	619	ANIMAL	0	0	3	0
2_animal	1016_fatadjofaperson	619	ANIMAL	1279	FAT (OBESE)	5	0	1	0
1016_fatadjofaperson	2_animal	1279	FAT (OBESE)	619	ANIMAL	0	0	1	0
2_animal	719_cunningperson	619	ANIMAL	2079	CUNNING PERSON	16	0	0	0
719_cunningperson	2_animal	2079	CUNNING PERSON	619	ANIMAL	0	0	0	0
2_animal	1270_greedy	619	ANIMAL	2018	GREEDY	3	0	1	0
1270_greedy	2_animal	2018	GREEDY	619	ANIMAL	0	0	1	0
2_animal	222_bearursus	619	ANIMAL	1820	BEAR	1	0	0	0
222_bearursus	2_animal	1820	BEAR	619	ANIMAL	0	0	0	0
2_animal	179_badperson	619	ANIMAL	2197	BAD PERSON	1	0	0	0
179_badperson	2_animal	2197	BAD PERSON	619	ANIMAL	0	0	0	0
2_animal	713_cruel	619	ANIMAL	500	CRUEL	2	0	0	0
713_cruel	2_animal	500	CRUEL	619	ANIMAL	0	0	0	0
2_animal	1933_mutedumb	619	ANIMAL	1666	MUTE	0	0	1	1
1933_mutedumb	2_animal	1666	MUTE	619	ANIMAL	0	0	1	1
2_animal	1799_meat	619	ANIMAL	634	MEAT	0	0	2	0
1799_meat	2_animal	634	MEAT	619	ANIMAL	7	0	2	0
2_animal	1458_insect	619	ANIMAL	620	INSECT	0	0	7	0
1458_insect	2_animal	620	INSECT	619	ANIMAL	0	0	7	0
4_abdomen	1697_locationofemotions	1251	BELLY	2198	LOCATION OF EMOTIONS	17	1	6	0
1697_locationofemotions	4_abdomen	2198	LOCATION OF EMOTIONS	1251	BELLY	0	0	6	0
4_abdomen	323_body	1251	BELLY	1480	BODY	1	0	0	0
323_body	4_abdomen	1480	BODY	1251	BELLY	0	0	0	0
4_abdomen	1518_inside	1251	BELLY	1606	INSIDE	1	0	2	0
1518_inside	4_abdomen	1606	INSIDE	1251	BELLY	1	0	2	0
4_abdomen	2278_pregnant	1251	BELLY	1123	PREGNANT	3	5	1	0
2278_pregnant	4_abdomen	1123	PREGNANT	1251	BELLY	0	0	1	0
4_abdomen	1016_fatadjofaperson	1251	BELLY	1279	FAT (OBESE)	0	2	0	0
1016_fatadjofaperson	4_abdomen	1279	FAT (OBESE)	1251	BELLY	0	0	0	0
4_abdomen	4519_womb	1251	BELLY	804	WOMB	3	0	6	0
4519_womb	4_abdomen	804	WOMB	1251	BELLY	2	0	6	0
4_abdomen	1830_middle	1251	BELLY	1093	MIDDLE	2	0	1	0
1830_middle	4_abdomen	1093	MIDDLE	1251	BELLY	0	0	1	0
4_abdomen	1179_furious	1251	BELLY	2223	BE ANGRY	0	2	0	0
1179_furious	4_abdomen	2223	BE ANGRY	1251	BELLY	0	0	0	0
4_abdomen	1224_glutton	1251	BELLY	533	GLUTTON	1	2	0	0
1224_glutton	4_abdomen	533	GLUTTON	1251	BELLY	0	0	0	0
4_abdomen	2416_riverbed	1251	BELLY	993	RIVER BED	1	0	0	0
2416_riverbed	4_abdomen	993	RIVER BED	1251	BELLY	0	0	0	0
4_abdomen	241_beehive	1251	BELLY	88	BEEHIVE	1	0	0	0
241_beehive	4_abdomen	88	BEEHIVE	1251	BELLY	0	0	0	0
4_abdomen	2842_stomach	1251	BELLY	819	STOMACH	1	0	37	0
2842_stomach	4_abdomen	819	STOMACH	1251	BELLY	1	0	37	0
4_abdomen	1665_life	1251	BELLY	210	LIFE	0	0	1	0
1665_life	4_abdomen	210	LIFE	1251	BELLY	3	0	1	0
4_abdomen	4_abdomen	1251	BELLY	1251	BELLY	0	0	32	2
4_abdomen	4_abdomen	1251	BELLY	1251	BELLY	0	0	32	2
4_abdomen	1343_heart	1251	BELLY	1223	HEART	0	0	2	0
1343_heart	4_abdomen	1223	HEART	1251	BELLY	2	0	2	0
6_abiesabies	2793_sprucepicea	1915	FIR	545	SPRUCE	0	0	3	0
2793_sprucepicea	6_abiesabies	545	SPRUCE	1915	FIR	1	0	3	0
20_acid	83_angry	1906	SOUR	1826	ANGRY	2	0	3	0
83_angry	20_acid	1826	ANGRY	1906	SOUR	0	0	3	0
20_acid	1222_gloomydepressed	1906	SOUR	1552	GLOOMY	3	0	1	0
1222_gloomydepressed	20_acid	1552	GLOOMY	1906	SOUR	0	0	1	0
20_acid	2477_sad	1906	SOUR	699	SAD	6	0	2	0
2477_sad	20_acid	699	SAD	1906	SOUR	0	0	2	0
20_acid	2309_proud	1906	SOUR	174	PROUD	1	0	0	0
2309_proud	20_acid	174	PROUD	1906	SOUR	0	0	0	0
20_acid	290_bitter	1906	SOUR	887	BITTER	1	0	4	0
290_bitter	20_acid	887	BITTER	1906	SOUR	0	0	4	0
20_acid	2960_tamarind	1906	SOUR	35	TAMARIND	1	0	2	1
2960_tamarind	20_acid	35	TAMARIND	1906	SOUR	1	0	2	1
20_acid	2439_rotten	1906	SOUR	1728	ROTTEN	0	1	1	0
2439_rotten	20_acid	1728	ROTTEN	1906	SOUR	0	0	1	0
20_acid	20_acid	1906	SOUR	1906	SOUR	14	16	2	0
20_acid	20_acid	1906	SOUR	1906	SOUR	14	16	2	0
20_acid	594_cold	1906	SOUR	1287	COLD	0	0	1	0
594_cold	20_acid	1287	COLD	1906	SOUR	0	0	1	0
20_acid	2496_salty	1906	SOUR	1091	SALTY	0	0	2	0
2496_salty	20_acid	1091	SALTY	1906	SOUR	1	0	2	0
20_acid	2763_spicy	1906	SOUR	544	SPICY	0	0	1	0
2763_spicy	20_acid	544	SPICY	1906	SOUR	0	0	1	0
20_acid	2870_strongofliquidorsmell	1906	SOUR	510	STRONG EFFECT	0	0	1	0
2870_strongofliquidorsmell	20_acid	510	STRONG EFFECT	1906	SOUR	0	0	1	0
22_acorn	2027_oak	968	ACORN	644	OAK	0	0	2	0
2027_oak	22_acorn	644	OAK	968	ACORN	0	0	2	0
22_acorn	221_bean	968	ACORN	832	BEAN	0	0	1	0
221_bean	22_acorn	832	BEAN	968	ACORN	0	0	1	0
22_acorn	641_conefruit	968	ACORN	287	CONE	0	0	1	0
641_conefruit	22_acorn	287	CONE	968	ACORN	0	0	1	0
25_active	561_clever	1861	ACTIVE	1310	CLEVER	1	0	0	0
561_clever	25_active	1310	CLEVER	1861	ACTIVE	0	0	0	0
25_active	1577_keenofsensesmind	1861	ACTIVE	2232	KEEN OR SUBTLE	1	0	0	0
1577_keenofsensesmind	25_active	2232	KEEN OR SUBTLE	1861	ACTIVE	0	0	0	0
25_active	56_alive	1861	ACTIVE	1422	BE ALIVE	0	0	1	0
56_alive	25_active	1422	BE ALIVE	1861	ACTIVE	2	0	1	0
25_active	1567_joy	1861	ACTIVE	2524	JOY	0	0	1	0
1567_joy	25_active	2524	JOY	1861	ACTIVE	0	0	1	0
26_activity	2235_ploughing	1086	WORK (ACTIVITY)	1921	PLOUGH	5	4	9	0
2235_ploughing	26_activity	1921	PLOUGH	1086	WORK (ACTIVITY)	1	0	9	0
26_activity	2890_suffering	1086	WORK (ACTIVITY)	1101	SUFFER	0	1	15	1
2890_suffering	26_activity	1101	SUFFER	1086	WORK (ACTIVITY)	0	0	15	1
26_activity	3531_togivebirth	1086	WORK (ACTIVITY)	1195	GIVE BIRTH	1	1	3	0
3531_togivebirth	26_activity	1195	GIVE BIRTH	1086	WORK (ACTIVITY)	0	0	3	0
26_activity	3526_togettired	1086	WORK (ACTIVITY)	1996	GET TIRED	2	0	0	0
