ID	Source	Source_Number	Direction	Target	Target_Number	Realizations	Examples
shift1970	crown (n.)	1149	→	top/crown (of a tree)	3408	1	1
shift8027	house	1678	→	live-in son-in-law	233	4	4
shift5304	dough	4470	→	money	700	4	4
shift5768	shine (n.)	4037	—	smoke	4130	1	1
shift5056	dry	4491	→	lenten (fare)	193	5	5
shift4070	to sit	3160	→	to hatch eggs	2740	1	1
shift8131	fallow	1220	→	June	1200	3	3
shift1402	blind	3624	→	blunt	3637	4	4
shift3524	to make a hole	2878	→	to grow (plants)	2723	1	1
shift1325	to shoot	3149	→	to shock (of electric current)	3147	1	1
shift3517	red	1444	→	yolk	2087	1	1
shift8042	<building>	3481	→	constellation	1085	11	11
shift2436	tree	3432	→	firm, solid	1296	1	1
shift4213	road	1486	→	meaning, sense	615	1	1
shift4163	glass (material)	791	→	spectacles	4192	15	15
shift3068	red	1444	→	naked, bare	1819	1	1
shift0891	liquid (adj.)	226	—	smooth	4132	1	1
shift5572	bud (on a twig)	3712	→	<fish>	1207	1	1
shift8474	mother	720	→	afterbirth, placenta	1953	5	5
shift4130	mute, dumb	755	—	insane	1784	3	3
shift8063	to recall, recollect	3045	—	to dream (of)	2552	1	1
shift0697	smoke	4130	→	dust	4503	3	3
shift6544	comprehensible	1074	→	noticeable	1886	1	1
shift6043	drop (n.)	4485	—	dew	4424	2	2
shift5148	to fall down	2605	→	to get (in games)	2668	1	1
shift1908	to mix, stir	2920	→	to involve	2804	3	3
shift0065	noon	1875	→	South	4179	16	16
shift6300	to bring to order	2380	→	to kill	2820	1	1
shift7061	mountain pass	730	—	forest	1351	1	1
shift2354	to wash	3355	—	to rub	3100	2	2
shift5899	bush, shrub	3727	→	bouquet	3657	1	1
shift2165	lion (Panthera leo)	223	→	brave person	3676	9	9
shift6136	nest (n.)	1846	—	sheath	4026	1	1
shift3733	to hear / to listen	2759	—	to think	3293	25	25
shift7646	wound (n.)	125	→	yarrow	2076	2	2
shift5111	beautiful	3545	→	wife	73	1	1
shift4447	air	1961	—	gas	771	4	4
shift7070	midwife	656	→	gossiper	822	1	1
shift6090	to pour	2993	→	to be covered with leaves (buds)	2264	1	1
shift0859	face	1214	→	conscience, scruples	1081	3	3
shift6065	to ask, inquire	2240	→	to tell a person's fortune	3290	1	1
shift3992	heart	1588	→	stone (of a fruit)	4280	2	2
shift6397	head	1578	→	clasp, buckle	990	1	1
shift7893	raven	1433	→	pickaxe	366	1	1
shift6758	thick	2167	—	vulgar	3783	1	1
shift3765	straight	4292	—	undiluted	517	1	1
shift6002	to blow	2355	→	to go mad	2707	1	1
shift2205	child (son or daughter)	958	↔	sprout	4227	24	24
shift8157	Gemini (constellation)	774	→	June	1200	1	1
shift2509	end	3837	→	completion	1070	5	5
shift5660	wing	92	→	eagle	3790	1	1
shift0360	to touch	3307	→	to evoke (a feeling)	2588	12	12
shift2092	<insect>	1727	→	many, much	584	2	2
shift8400	Saint Demetrius	3923	→	October	4521	1	1
shift5763	to practice witchcraft	2994	→	to prevent	3004	1	1
shift6364	vain, in vain	3746	—	unfair	519	1	1
shift5024	mother	720	→	<female animal>	1206	5	5
shift4166	to miss somebogy, to long for	2917	—	to invite	2803	1	1
shift5891	to guess	2732	—	to remember	3063	1	1
shift4304	queen	1902	↔	wife	73	3	3
shift5099	raw	1436	→	raw material	1437	5	5
shift6101	to close one's eyes	2434	→	to clench fist	2432	1	1
shift2355	enemy	3840	→	evil spirit	3877	6	6
shift3175	right (vs. left)	1481	→	liver	236	1	1
shift0101	dew	4424	—	wet	49	1	1
shift6870	blood vessel	3631	—	race, ethnos	1412	1	1
shift2454	snowball tree, guelder-rose, viburnum	4143	—	tamarisk	2123	1	1
shift0435	to dream while sleeping	2553	—	to seem	3122	1	1
shift0658	to walk, to go	3349	—	to search, look for	3120	3	3
shift2974	to speak	3193	—	to tell a person's fortune	3290	1	1
shift2058	door	4466	→	kind (n.)	1710	1	1
shift2228	late	163	—	long ago	248	2	2
shift6311	seven	3999	—	many, much	584	1	1
shift3186	to dig	2519	→	to thrust (into)	3299	2	2
shift3143	clasp, buckle	990	→	fibula (anat.)	1270	3	3
shift0786	to breathe	2373	→	wind	88	5	5
shift8647	evil spirit	3877	—	firefly	1292	1	1
shift7994	sail (n.)	3920	→	auricle	2060	1	1
shift4093	sun	4333	—	fire	1286	3	3
shift5765	to leave	2838	→	to begin	2331	1	1
shift3286	ashes	2040	→	grey	846	9	9
shift3234	lavish, generous	166	→	influential person	1775	1	1
shift0570	to go up	2713	→	to begin (tr.)	2332	2	2
shift2422	oak	4510	—	pole (long stick)	427	2	2
shift2298	heart	1588	→	impudence	1749	1	1
shift6212	lyre	274	→	Trimorphodon biscutatus	3441	4	4
shift1219	skin (of an animal)	4101	→	skin (of a person)	4100	3	3
shift3423	white	62	—	good	814	3	3
shift0395	time	2200	—	hour	1675	8	8
shift5772	beetle	3561	→	insect	1786	1	1
shift1757	can, to be able	882	→	to endure	2578	3	3
shift7626	voice	3778	—	noise	1872	2	2
shift0892	deep	4404	—	high (size), tall	1624	4	4
shift3755	breathing	3683	—	life	207	4	4
shift5852	to miss the target	2918	→	insane	1784	1	1
shift1877	blood vessel	3631	—	tendon	2147	3	3
shift6432	left	183	→	opposite	4555	1	1
shift2826	hard, solid	1558	→	good	814	1	1
shift0650	hand/arm	1550	→	kind (n.)	1710	2	2
shift7829	proud	487	—	brave	3675	1	1
shift7754	clay	997	→	aluminium	1981	4	4
shift7346	to turn into (tr.)	3321	→	to appoint (to a position)	2232	1	1
shift4182	expensive	3885	—	difficult	4433	9	9
shift7540	current, flow, stream	1164	→	speed, velocity	4194	1	1
shift1443	branch, twig	3672	—	root (of a plant)	1499	1	1
shift4370	to want	3353	—	sperm	4195	2	2
shift0177	to press	3002	→	to approach, come near	2234	2	2
shift7349	sun	4333	—	period of time	353	2	2
shift0318	to rotate (tr.)	3097	→	to dislocate (of a joint)	2533	1	1
shift5167	unripe (fruit)	538	—	undercooked	514	2	2
shift2991	many, much	584	→	wide, broad	70	1	1
shift0352	strong	4304	→	good	814	3	3
shift5439	ear	3792	→	shoehorn	4043	1	1
shift4646	to see/to look at	3121	→	mirror	675	2	2
shift6396	axe	2070	→	woodpecker	118	1	1
shift2156	<foreigner>	1210	↔	monster (supernatural)	705	7	7
shift1734	<rural foot-wear>	1409	→	fool	1336	3	3
shift7338	China	967	→	rice	1475	1	1
shift4679	shepherd	4031	→	dragonfly	4476	1	1
shift5063	servant	3997	—	soldier	4154	1	1
shift5433	tortoise, turtle	3414	→	Gemini (constellation)	774	2	2
shift6631	thousand	2181	→	yarrow	2076	2	2
shift6664	beam	3537	→	support (n.)	4342	1	1
shift1142	to hear	2758	→	rumour	1522	5	5
shift0502	ear	3792	→	opening, hole	4551	10	10
shift4079	lazy	171	—	to deceive	2494	2	2
shift7718	lunch, midday meal	271	→	sun	4333	1	1
shift6329	fame	1224	↔	name	1820	11	11
shift3942	end	3837	—	udder	501	1	1
shift0824	saffron	3917	↔	yellow	2079	4	4
shift2315	black	3610	→	guilty	858	2	2
shift5123	to be in vertical position, to stand	2283	→	torso	3413	1	1
shift6723	mare	590	→	bridge (of musical imstrument)	3690	3	3
shift4307	tail	2113	→	rear end	1441	3	3
shift3773	to touch	3307	—	to try, to attempt	3318	1	1
shift4545	edge, border	3810	→	ring finger	1483	1	1
shift2107	lightning	215	→	electricity	3826	13	13
shift0634	to become visible	2327	→	to come	2439	1	1
shift4357	resurrection	1465	→	Sunday	4335	2	2
shift4314	low (location)	263	→	secret	3981	0	0
shift6534	to end, finish	2577	→	to wring a cloth	3386	1	1
shift6922	fence	1259	—	shield	4034	1	1
shift2713	to swim	3262	—	to strike, hit	3234	2	2
shift5541	meadow	611	→	corn crake	1098	2	2
shift0702	entirely	3847	—	separately	3995	1	1
shift0181	naked, bare	1819	→	raw	1436	1	1
shift5935	dog	4458	→	trigger (of a gun)	3439	4	4
shift4709	<name of person>	1811	→	police officer	430	1	1
shift0574	boy	3666	—	son	4163	46	46
shift8546	to bite one's finger	2349	—	to be surprised	2305	1	1
shift4308	to taste (tr.)	3283	→	to fit, try on	2631	1	1
shift6850	animal	1999	→	bad person	3496	1	1
shift1546	comb	1040	→	honeycomb	1645	1	1
shift6143	drinking vessel	4481	→	chanterelle	942	1	1
shift7784	seasonal flooding	3976	→	April	2021	1	1
shift7651	blood	3630	→	yarrow	2076	2	2
shift8213	linden	218	→	July	1198	4	4
shift1484	owl	4574	—	raven	1433	1	1
shift4016	to bark	2250	—	to smell bad	3177	1	1
shift3838	honey	1642	—	honey mushroom (Armillaria mellea)	1644	1	1
shift5859	brave	3675	—	hot-tempered	1674	1	1
shift5650	bull	3715	→	bear (Ursus)	3539	1	1
shift5589	bad (ethically)	3494	→	bear (Ursus)	3539	2	2
shift6076	to ride (e.g., a horse)	3086	→	to tell lie	3291	1	1
shift6103	to make sb look at smth	2895	→	to send	3125	1	1
shift0052	memory	635	—	health	1584	1	1
shift7017	thick	2167	→	rich	1476	1	1
shift2281	to bite	2347	→	to quarrel	3035	5	5
shift3372	soft (adj.)	4151	→	quiet (vs. loud)	1909	2	2
shift4168	to sow	3190	→	to inoculate	2794	1	1
shift7470	to press	3002	→	to defeat, win	2501	1	1
shift8040	to cut	2484	→	definite, certain	4408	1	1
shift0998	to throw	3296	→	to spring, jump	3201	1	1
shift4979	hungry	1690	—	fine, powder-like	1283	1	1
shift4281	house	1678	→	wife	73	10	10
shift0928	beetle	3561	—	freak, oddity	1369	3	3
shift1982	hunt (n.), hunting	1691	↔	wild beast	77	7	7
shift1664	blue	3634	—	green	845	8	8
shift5690	kite (lightweight toy)	1717	→	flying fish	1329	1	1
shift8103	heart	1588	—	patience	317	1	1
shift1194	<fruit>	1211	→	tonsil	3401	5	5
shift5682	to separate	3127	→	diaphragm	4430	1	1
shift7153	to suffer	3244	—	to try, to attempt	3318	1	1
shift2186	to see/to look at	3121	→	to beware, be careful	2343	14	14
shift0097	to freeze, be cold	2657	→	to fear	2610	2	2
shift7522	second (num.)	3979	→	bran	3670	1	1
shift0954	sharp	4022	→	angry	1997	6	6
shift6611	to make smb/smth light (of weight)	2898	→	to urinate	3341	1	1
shift8522	to salt	3109	→	to disgrace, dishonor	2532	2	2
shift0104	centre	930	—	surface	4345	1	1
shift3346	palate	290	—	gum, gingiva	862	1	1
shift3852	tree	3432	—	fire	1286	47	47
shift7958	new	1852	→	fresh	1376	2	2
shift7032	face	1214	→	turkey	3465	1	1
shift5858	brave	3675	—	severe, harsh	4003	1	1
shift8645	stomach	4277	→	urinary bladder	548	1	1
shift4804	member of a retinue	632	—	husband	1694	2	2
shift2081	bread	3677	—	food	1335	11	11
shift0651	liquid (adj.)	226	→	sparse	4188	5	5
shift6650	bald	3504	→	unforested, treeless place	521	2	2
shift1271	rooster	1497	→	penis	343	4	4
shift0804	grass	833	→	green	845	3	3
shift2323	to endure	2578	—	to remember	3063	1	1
shift5628	younger brother	2095	—	cousin (male, parallel)	1118	1	1
shift7741	lord, master	254	→	furuncle	1405	2	2
shift4972	shape, form	4018	→	figure, stature	1279	1	1
shift6780	to go, walk	2715	→	to suffice, be enough	3247	1	1
shift3336	hand/arm	1550	→	strength	4301	3	3
shift2686	to listen	2854	→	to learn, study	2837	1	1
shift2233	spicy	4198	—	stupid	4312	1	1
shift6621	bride	3687	→	husband	1694	1	1
shift7370	to bend	2338	—	to change direction of one's motion	2419	1	1
shift5404	bathroom	3531	→	toilet	3395	7	7
shift1818	raw	1436	→	rude, impolite	1517	6	6
shift8550	surprising	4350	→	exceptional	3881	1	1
shift7274	bath	3530	→	Saturday	3945	3	3
shift1437	to see/to look at	3121	→	to act according to	2218	9	9
shift3261	black	3610	→	venous (blood)	3756	1	1
shift8574	muddy, turbid (of water)	740	→	to be angry	2255	2	2
shift0464	eye	3890	→	peephole	334	5	5
shift4868	diamond	4428	→	diamonds (in cards)	4429	6	6
shift4461	to pass by	2961	—	to behave in a wrong way	2336	1	1
shift5869	to swell up	3261	→	to swagger	3253	7	7
shift1916	ear	3792	→	gills	783	1	1
shift6501	lame	149	→	slow (adj.)	4120	1	1
shift6588	good	814	→	healed	1583	1	1
shift7264	to stand	3211	→	to fit, suit	2630	2	2
shift7025	screen, cover	3966	→	backdrop (visual)	3490	1	1
shift7358	to crawl	2473	→	slippery	4117	1	1
shift2890	to smear, anoint	3176	→	to clean	2428	2	2
shift0669	doll	4460	→	pupil (of an eye)	493	6	6
shift2647	<vessel>	3742	↔	ship, vessel	4039	15	15
shift5165	son	4163	→	soldier	4154	1	1
shift5221	steam, vapour	4251	→	sweat	4357	3	3
shift1760	part	306	→	body part	3642	2	2
shift2913	to weaken (intr.)	3363	→	to get tired	2689	1	1
shift5299	silver	4081	↔	gold	807	13	13
shift1562	muzzle	756	→	face	1214	3	3
shift7614	to untie, unbind	3338	→	to abolish	2209	1	1
shift5647	he	1577	→	bear (Ursus)	3539	1	1
shift8593	to teach	3285	→	ready	1439	0	0
shift0130	Jupiter	1203	→	Thursday	2191	21	21
shift3163	<bird>	3478	→	freckle	1370	7	7
shift8245	to respect	3075	—	to obey	2943	11	11
shift0085	to sweep	3260	→	to distract	2539	1	1
shift8013	glue	797	—	aspic (dish)	2046	1	1
shift4383	flute	1326	→	shinbone	4036	4	4
shift2600	to destroy, annihilate	2514	→	to forgive	2654	1	1
shift3117	ice	1730	→	glass (material)	791	2	2
shift4788	to see/to look at	3121	—	to discuss	2530	1	1
shift7016	thick	2167	→	back vowels (linguistics)	3488	1	1
shift6957	to put into	3026	→	to imprison	2782	1	1
shift5326	already	1978	—	now	1890	10	10
shift3380	night	1863	→	bat	3529	4	4
shift1702	to get, obtain	2691	→	cattle	914	2	2
shift2907	to decline from the route	2496	→	to tell lie	3291	1	1
shift0286	to bend (intr.)	2339	—	to die	2517	2	2
shift3590	father	1242	→	boss	3651	11	11
shift5917	tea	2137	→	Saint-John's-wort (Hypericum)	3926	4	4
shift3054	deaf	4396	→	blunt	3637	0	0
shift3410	pine-tree	382	→	horsetail, equisetum	1669	2	2
shift2739	mountain	728	→	cloud	1007	2	2
shift4833	trunk, proboscis (of elephant)	3452	→	tendril (of plant)	2148	1	1
shift5942	upper arm	541	→	cock (of a gun)	1023	1	1
shift2501	to burn (tr.)	2385	→	frost	1391	5	5
shift0265	to fall down	2605	→	to happen	2735	8	8
shift3330	brave	3675	→	active	1939	1	1
shift3431	to insert	2795	→	to meet	2909	2	2
shift3525	sharp	4022	↔	iron	1806	2	2
shift2244	to follow, go after smb.	2649	→	next	1860	13	13
shift5035	name	1820	→	grandchild	824	2	2
shift3451	naked, bare	1819	→	only, just	4547	4	4
shift3702	elder brother	3821	—	uncle (mother's brother)	509	2	2
shift3604	stepson	4262	→	sucker (botany)	4320	1	1
shift8156	linden	218	→	June	1200	1	1
shift1942	to cackle, to cluck	2392	→	to speak	3193	2	2
shift7543	scythe	3969	→	bow, fiddlestick	3660	1	1
shift0944	button (on a dress)	3738	→	push button	499	11	11
shift4486	blind alley	3625	→	deadlock	4395	1	1
shift3988	friend	1380	—	peer	335	1	1
shift1849	to stand	3211	→	to inhabit, live	2793	2	2
shift8176	tobacco pipe	3392	→	mock-orange	687	5	5
shift8394	old (vs. new)	4532	→	historical tale	1631	2	2
shift7705	copper	1093	→	Anguis fragilis	1998	3	3
shift7461	after	1952	→	consequently	1084	2	2
shift4845	to spring, jump	3201	→	to surpass	3250	1	1
shift0173	to hunt	2776	→	to flirt	2636	1	1
shift5459	grasshopper (Tettigonioidea)	835	→	flying fish	1329	1	1
shift0354	to strew	3233	—	to pour	2993	22	22
shift7704	<animal>	1916	—	novice	1889	1	1
shift1419	circle	983	→	<money>	559	4	4
shift8120	sea	3970	→	guinea pig (Cavia porcellus)	860	19	19
shift8241	air	1961	—	daydream (n.)	4393	1	1
shift0950	to tame	3280	→	to kill	2820	1	1
shift1328	to end, finish	2577	→	to die	2517	10	10
shift1742	to grasp, seize	2717	→	to learn, study	2837	1	1
shift0288	to open (tr.)	2949	→	to waste	3357	1	1
shift7900	different	4432	→	excellent	3880	5	5
shift4184	monarch	696	→	mesentery	641	1	1
shift7606	maple sugar	587	→	March	589	1	1
shift7319	eagle	3790	→	January	1176	1	1
shift5089	one's own	4545	→	sibling	4067	1	1
shift4737	to drive, to force to move on	2560	→	to distill, retort	2536	2	2
shift2665	pig (Sus scrofa)	369	↔	badger (Meles)	3501	5	5
shift1131	to open (tr.)	2949	→	to learn, find out	2836	6	6
shift8192	owner	4576	→	author	2061	1	1
shift8397	pearl	329	→	pearl barley	330	5	5
shift4689	kind, good-hearted	1711	→	fever	1267	1	1
shift7881	trench	3433	—	thread	2182	1	1
shift0427	turnip	3467	—	beet (Beta vulgaris)	3560	1	1
shift8555	moon	708	→	lead, plumbum	173	1	1
shift3661	to pull, to draw	3018	→	to build	2383	1	1
shift4760	plough, ard	412	→	unit of area	527	1	1
shift0551	<going, walking>	761	→	toilet	3395	3	3
shift2964	dense, thick (liquid)	4414	—	dark (adj.)	4382	2	2
shift2145	lame	149	→	drunk	4488	1	1
shift7699	to calculate, count	2393	—	to make plans	2892	1	1
shift6877	virgin	3773	→	honest	1640	1	1
shift5527	crow	1147	→	jay	1179	1	1
shift2695	to open (tr.)	2949	→	to begin (tr.)	2332	5	5
shift0521	eyebrow	3897	→	hill	1626	1	1
shift0851	heavy (of weight)	1594	→	pregnant	456	27	27
shift7304	leaf	174	→	May	609	2	2
shift7159	strong	4304	—	dangerous	4381	1	1
shift2413	black	3610	→	many, much	584	2	2
shift5213	younger brother	2095	→	owner	4576	1	1
shift5516	grain, seed	823	→	rook	1494	3	3
shift8419	to break (tr.)	2370	→	to kill	2820	1	1
shift7499	heavy (of weight)	1594	→	fat (adj.)(of a person)	1239	1	1
shift3666	body	3640	—	human, person	1683	13	13
shift6355	nut, hazel	1898	→	hazel grouse (Tetrastes bonasia)	1575	2	2
shift7716	first	1297	→	best	3583	3	3
shift8113	mouth	735	→	orator	4557	1	1
shift3354	to adorn, decorate	2223	→	to boast	2360	1	1
shift0689	big	3588	—	brave	3675	1	1
shift4298	finger/toe	1285	→	sleeve	4113	1	1
shift7408	spine, backbone	4205	→	back (body part)	3485	2	2
shift1587	scorpion	3962	→	hand (of a clock)	1548	2	2
shift5466	crocodile	1139	→	greedy	844	1	1
shift7663	god	804	→	icon (christianity)	1733	1	1
shift3739	to perceive smell	2969	→	to detect	2515	6	6
shift7726	light, bright, clear	212	—	dear, darling	4397	1	1
shift0888	back (body part)	3485	→	mountain ridge, edge	731	25	25
shift6574	to bend	2338	→	to add	2219	1	1
shift1728	cucumber	1155	—	vegetable marrow	3750	1	1
shift3616	to fight, scuffle	2625	—	to awaken, wake up	2246	1	1
shift1844	to pull, to draw	3018	→	to last	2831	3	3
shift2433	aspen	2044	—	elm	3829	1	1
shift8112	channel, opening in a reef	941	→	river	1484	1	1
shift0983	to slow, linger	3175	—	to inhabit, live	2793	4	4
shift0569	to go out	2708	→	to result in	3079	5	5
shift2724	to cut	2484	→	to dilute	2521	4	4
shift0938	fearful, dreadful	1247	→	very	3761	20	20
shift3651	flower	1323	→	cunning person	1157	1	1
shift5780	twin	3471	→	testicle	2161	1	1
shift7978	faeces	1215	→	clubs (in cards)	1015	1	1
shift0443	mother	720	→	womb	110	3	3
shift8458	hazel grouse (Tetrastes bonasia)	1575	→	willow ptarmigan	86	1	1
shift4320	road	1486	—	bridge	3689	1	1
shift1444	to disdain	2531	—	to despair	2512	1	1
shift4191	to go upstream	2714	→	to repatriate	3070	1	1
shift5458	grasshopper (Tettigonioidea)	835	—	mantis	582	8	8
shift0905	left	183	↔	clumsy	1016	6	6
shift5619	lock (n.)	240	→	keystone	1706	5	5
shift2755	strong	4304	—	brave	3675	3	3
shift6828	drug, medicine	4486	→	narcotic drugs	1825	2	2
shift6173	bear (Ursus)	3539	→	sloth (South American mammal)	4119	1	1
shift6858	<foreign country>	1209	→	turkey	3465	8	8
shift2972	empty	3835	→	nausea	1832	1	1
shift3479	shirt	4040	→	coffin	1030	1	1
shift4247	pear	328	→	potato	445	4	4
shift7710	price	459	—	reputation	1458	1	1
shift5331	name	1820	→	kind (n.)	1710	6	6
shift6895	iris (anatomy)	1805	—	blueflag (Iris)	3636	1	1
shift0636	top, upper part	3407	—	North	1877	11	11
shift4669	sack, bag	3908	—	clumsy	1016	2	2
shift7665	horsehair	1664	→	horsehair worm	1665	7	7
shift2801	top, upper part	3407	—	beak	3536	1	1
shift6208	to strike, hit	3234	→	Bitis arietans	3606	1	1
shift4134	insect	1786	—	wasp	14	3	3
shift5593	horn	1657	→	moose	709	1	1
shift2633	to promise	3008	→	to answer	2228	2	2
shift5854	season (of the year)	3975	—	chapter (of a book)	943	4	4
shift6731	horseman, rider	1666	→	bridge (of musical imstrument)	3690	1	1
shift1299	to love	2874	→	any	2012	5	5
shift6638	bow (weapon)	3659	→	slingshot	4116	1	1
shift5365	tooth	3404	→	tentacle (of animals)	2152	1	1
shift7310	to cross a river	2478	—	to cross a mountain range	2477	1	1
shift7451	dog	4458	→	rude, impolite	1517	1	1
shift6639	bow (weapon)	3659	→	leaf spring	176	2	2
shift6597	to walk, wander	3350	—	to rob	3094	1	1
shift7682	steam, vapour	4251	→	fallow	1220	2	2
shift0692	to strike, hit	3234	→	to kill	2820	24	24
shift0343	to go down	2704	→	to become decrepit	2315	2	2
shift8211	nut, hazel	1898	→	July	1198	2	2
shift6537	to suck	3243	→	to cause moral suffering	2411	1	1
shift4088	—	4580	→	to die	2517	0	0
shift7911	rag, duster	1418	→	sail (n.)	3920	2	2
shift2800	belly	3572	—	womb	110	7	7
