ID	Source	Source_Number	Direction	Target	Target_Number	Realizations	Examples
shift0274	bitter	3607	→	beautiful	3545	2	2
shift3842	funnel	1400	—	chanterelle	942	2	2
shift5903	happy	1555	→	anthrax	2008	1	1
shift0066	to make noise	2891	→	to speak	3193	6	6
shift8060	to become clear (of sky)	2314	→	to become sober	2322	1	1
shift5175	to lead	2834	→	to drive (the car)	2559	3	3
shift4705	palm (body part)	292	→	threshing floor	2184	1	1
shift7427	sour	4175	→	gloomy, depressed	796	2	2
shift0793	hard, solid	1558	→	persistent	356	5	5
shift8299	to breathe	2373	→	lung	272	1	1
shift5072	daughter	4387	—	female servant, maid	1258	2	2
shift4425	hare (Lepus)	1562	→	moon	708	2	2
shift5951	how many?	1680	→	several	4001	14	14
shift7210	to worry, be agitated	3382	—	to be interested in	2285	1	1
shift2655	grass	833	—	hair	1541	1	1
shift6417	cold	1032	→	fever	1267	1	1
shift6562	to cross a river	2478	→	to pass (of time)	2960	1	1
shift7586	to drive, to force to move on	2560	—	to ride (e.g., a horse)	3086	2	2
shift6249	to beware, be careful	2343	—	correct (adj.)	1105	1	1
shift6006	splinter (wood fragment)	4212	→	splinter (group of people)	4211	2	2
shift0327	shallow	4014	→	light, bright, clear	212	1	1
shift2864	fine, powder-like	1283	→	little, small	232	1	1
shift6608	steppe, plain	4261	→	wolf	107	1	1
shift8088	entada (plant)	3844	→	knee-cap	1719	3	3
shift6835	worm	123	→	bad person	3496	2	2
shift5649	violent	3769	→	bear (Ursus)	3539	1	1
shift5502	to whistle	3376	→	nightingale	1865	1	1
shift0512	comb (of a bird)	1041	→	cap peak	888	1	1
shift4444	swallow (bird)	4353	→	shuttle (weaving instrument)	4061	1	1
shift3014	to chew	2425	—	to eat	2569	2	2
shift5662	shin	4035	→	moose	709	1	1
shift5048	mother	720	→	goddess	805	7	7
shift1259	to intend	2798	—	to invite	2803	1	1
shift7769	otter (Lutra lutra)	4569	—	mink	670	1	1
shift3483	face	1214	→	to govern, control, rule	2716	1	1
shift4319	child (son or daughter)	958	—	offspring	4526	2	2
shift4865	drinking vessel	4481	→	hearts (in cards)	1589	3	3
shift7397	stone (piece of rock)	4281	→	clot of blood	1004	1	1
shift0716	big	3588	→	boss	3651	5	5
shift4636	to break (tr.)	2370	→	gloomy, depressed	796	1	1
shift4373	letter (character)	199	—	letter (text)	200	16	16
shift6191	to read	3042	→	to speak	3193	8	8
shift6643	drum	4487	→	buttock	3737	1	1
shift2590	to untie, unbind	3338	→	to stop doing smth.	3227	1	1
shift6278	thorn	2178	—	sting (n.)	4270	1	1
shift7393	light (of weight)	211	→	light, bright, clear	212	4	4
shift7712	to move (intr.)	2926	→	to suffice, be enough	3247	1	1
shift5215	air	1961	—	steam, vapour	4251	1	1
shift0047	abdomen	1918	→	location of emotions	239	24	24
shift7479	river	1484	→	osprey (Pandion haliaёtus)	4565	3	3
shift4488	tuberculosis	3457	—	hepatitis	1609	1	1
shift1400	to break (tr.)	2370	→	to ache	2214	5	5
shift8559	part	306	→	talent	2118	1	1
shift5305	cabbage	870	→	<money>	559	2	2
shift1712	snake	4136	→	lamprey (Petromyzontidae)	151	2	2
shift0266	to go down	2704	→	to appoint (to a position)	2232	1	1
shift2996	work (n.)	121	→	grain, seed	823	1	1
shift2234	poison	422	—	sad	3912	1	1
shift2871	thick	2167	→	thick (of a growth, hair)	2168	6	6
shift2622	stone (piece of rock)	4281	→	to calculate, count	2393	2	2
shift6353	hazel grouse (Tetrastes bonasia)	1575	→	buttonquail	3739	1	1
shift1430	to turn, rotate (intr.)	3327	→	to pass (of time)	2960	3	3
shift5950	to hold (in hands)	2771	→	to suffer from rheumatism	3246	1	1
shift1277	to turn sour	3325	→	to be late	2286	1	1
shift6875	to shine, glitter	3145	→	to rise (of Moon, Sun)	3090	1	1
shift6963	sharp	4022	→	<cold steel>	865	1	1
shift6899	spawn, roe	4189	→	ajvar (vegetable dish)	1964	3	3
shift3744	to grasp, seize	2717	—	to learn, find out	2836	2	2
shift6271	clean (adj.)	998	—	hot	1673	1	1
shift7776	sap (of a plant)	3935	→	April	2021	2	2
shift4058	to compare	2444	—	to imitate	2781	1	1
shift3648	to pinch	2976	→	to offend (tr.)	2948	1	1
shift0484	mouth	735	→	front part	1389	0	0
shift5426	crown (n.)	1149	→	comb (of a bird)	1041	1	1
shift8077	younger brother	2095	→	little finger	231	1	1
shift8056	wild, untamed	82	→	unmarried	533	1	1
shift5827	difficult	4433	—	good	814	1	1
shift8328	spleen (anat.)	4210	→	eye of a needle	3892	1	1
shift1134	to sow	3190	→	to drop (of liquid)	2561	3	3
shift4765	horn	1657	→	swelling (on skin)	4365	2	2
shift3294	star	4247	→	fried eggs	1379	1	1
shift2106	cold	1032	—	fresh (of water)	1377	1	1
shift4716	house	1678	→	inheritance	1778	1	1
shift8374	donkey	4463	→	supporting device	4343	5	5
shift8108	butterfly	3734	→	butterfly stroke	3736	19	19
shift4377	to read	3042	→	to scold	3114	2	2
shift7003	coffee	1029	→	brown	3703	1	1
shift5346	iron	1806	—	copper	1093	12	12
shift4648	uncle (father's brother)	507	—	nephew	1845	2	2
shift1365	strong	4304	→	very	3761	13	13
shift5124	state, situation	4250	→	state (sovereign polity)	4249	1	1
shift5311	tank (closed container for liquids)	2126	→	tank (armour)	2125	1	1
shift3097	other	4567	—	wrong	127	3	3
shift0704	iron	1806	—	ice-crusted ground	1731	2	2
shift1959	soldier	4154	→	jack (playing card)	1171	5	5
shift6838	to scald	3113	→	to scold	3114	1	1
shift0037	to see/to look at	3121	→	to wait	3347	24	24
shift4986	sheath	4026	—	vagina	3745	22	22
shift1610	craw (of bird)	1130	—	Adam's apple	1943	1	1
shift0226	wide, broad	70	—	flat (adj)	1312	2	2
shift7503	hen	1607	→	chickenpox	956	3	3
shift8404	mud	739	→	October	4521	1	1
shift7391	fireplace	1293	→	January	1176	1	1
shift6753	to boil (intr.)	2361	→	to laugh	2832	1	1
shift2025	sated with food	3939	→	saturated (with something)	3944	3	3
shift5041	to go down	2704	→	to begin (tr.)	2332	1	1
shift0975	to fall down	2605	→	to die	2517	34	34
