ID	Type	Realization	Status	Direction	Source_Concept	Source_Concept_ID	Target_Concept	Target_Concept_ID	Source_Language	Target_Language	Source_Meaning	Target_Meaning	Source_Word	Target_Word
1	Polysemy	1	ACCEPTED	→	Sanskrit	Sanskrit	to count , number , enumerate , sum up , add up , reckon	to take into account	gaṇ	gaṇ
2	Derivation	?	Lezgian	Lezgian	count	to neglect, not to take in consideration	hisab	hisaba taq’un
3	Derivation	?	Russian	Russian	to count	to take into account	sčitat&#39;	učityvat&#39;
4	Polysemy	4	ACCEPTED	—	Russian	Russian	to consider, to regard	to take into account	sčitat&#39;sja	sčitat&#39;sja
5	Polysemy	5	ACCEPTED	—	French	French	to calculate, count	to take into account	compter	compter
6	Polysemy	6	ACCEPTED	?	English	English			count	count
7	Polysemy	7	ACCEPTED	?	Turkish	Turkish	to count, to calculate, to list	to take into account, to lay emphasis on smth	say-	say-
8	Polysemy	8	ACCEPTED	→	Norwegian	Norwegian	to calculate, count	to take into account	regne	regne
9	Polysemy	9	ACCEPTED	→	Danish	Danish	to calculate, count	to take into account	regne	regne
10	Polysemy	10	ACCEPTED	→	Hungarian	Hungarian	to calculate, count	to take into account	számít	számít
11	Polysemy	11	ACCEPTED	→	Hungarian	Hungarian	to calculate, count	to take into account	számol	számol
12	Polysemy	12	NEW	→	Serbian	Serbian	to calculate, count	to take into account	рачунати (računati)	рачунати (računati)
13	Polysemy	13	NEW	→	Batsbi	Batsbi	to count	to consider, to admit	larʻlʻar	larʻlʻar
14	Semantic evolution	14	NEW	→	Irish Gaelic	Irish Gaelic	to calculate, count	to take into account	comhair	comhair
15	Polysemy	15	NEW	→	Abkhaz	Abkhaz	to calculate, count	to admit	аԥхьаӡара (apʰxʲad͡zara)	аԥхьаӡара (apʰxʲad͡zara)
16	Polysemy	→	Abaza	Abaza	to calculate, count	to presuppose	пхьадзара (pχʲadʒara)	йпхьадзара (jpχʲadʒara)
17	Polysemy	1	ACCEPTED	—	Mongolian (Khalkha)	Mongolian (Khalkha)	to call loudly	to read	unši-	unši-
18	Cognates	—	Ancient Hebrew	Classical Arabic	to call someone, to call, shout	to read (a book), to recite; to speak, to relate	ḳārā(ʔ)	ḳaraʔa
19	Polysemy	3	ACCEPTED	—	Geez	Geez	utter a sound, proclaim, chant	read, recite	ʔanbaba	ʔanbaba
20	Polysemy	4	NEW	—	Avar	Avar	to call	to read	цІалзи	цІалзи
21	Polysemy	5	NEW	—	Akhvakh	Akhvakh	to call	to read	жо̄рулъІа	жо̄рулъІа
22	Polysemy	6	NEW	—	Akhvakh	Akhvakh	to call	to read	жабулахъе	жабулахъе
23	Polysemy	7	NEW	—	Godoberi	Godoberi	to call	to read	бали	бали
24	Polysemy	1	ACCEPTED	?	Tibetan	Tibetan	up, above, at the top	beginning, in the beginning	kyīd	kyīd
25	Polysemy	2	ACCEPTED	?	Tibetan	Tibetan	on top	at first	yan-nas	yan-nas
26	Polysemy	1	ACCEPTED	→	Osetin	Osetin	stem	barrel	xætæl	xætæl
