NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CERTAINTY	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
1	alcoholic drink				&lt;alcoholic drink&gt;	drink that contains ethanol, a type of alcohol produced by fermentation of grains, fruits, or other sources of sugar		Plants
2	animal	619	ANIMAL	100	&lt;animal&gt;	Any kind of beasts, birds or insects. Not an animal in general but a particular representative of the fauna.		Animals
3	artiodactyl (even-toed animal)				&lt;artiodactyl (even-toed animal)&gt;	one of ungulate mammals with an even number of toes and belonging to the Artiodactyla, including pigs, sheep, deer, cattle, and most grazing animals		Animals
4	abdomen	1251	BELLY	19	abdomen	cavity of the belly, which is lined by the peritoneum, and contains the viscera; often restricted in humans to the part between the diaphragm and the commencement of the pelvis		N/a
5	aberration of mind				aberration of mind	None		Human being
6	abies (Abies)	1915	FIR	100	abies (Abies)	tree of the genus Abies		Plants
7	ability	2527	ABILITY	100	ability	quality or state of being able; capacity to do or of doing something; having the necessary power		Abstract entities
8	aborigine				aborigine	native inhabitant		N/a
9	about				about			N/a
10	above	1741	ABOVE	100	above			Space
11	abracadabra				abracadabra	Gibberish, meaningless sequence of sounds or words.		N/a
12	abrupt (offensive, critical, or acrimonious)				abrupt (offensive, critical, or acrimonious)			N/a
13	abscess			100	abscess			Physiology
14	abstinent (from alcohol)				abstinent (from alcohol)			N/a
15	abundance			100	abundance			Abstract entities
16	accident				accident			N/a
17	accomplice			100	accomplice			Human being
18	according to			100	according to			N/a
19	ace (playing card)				ace (playing card)	playing card with a single spot		N/a
20	acid	1906	SOUR	19	acid	any of a class of water-soluble compounds, having sour taste, that turn blue litmus red, and react with some metals to liberate hydrogen, and with bases to form salts		N/a
21	aconite			100	aconite			Plants
22	acorn	968	ACORN	100	acorn	fruit of the oak, being an oval nut growing in a woody cup		Plants
23	acrobat, equilibrist			100	acrobat, equilibrist			Human being
24	act, deed				act, deed			N/a
25	active	1861	ACTIVE	100	active			Evaluation
26	activity				activity			N/a
27	acute (disease, condition)				acute (disease, condition)			N/a
28	acute (of sound)			100	acute (of sound)			Sound
29	Adam's apple	802	ADAM'S APPLE	100	Adam&#39;s apple	lump in the throat, usually more noticeable in men than in women; the laryngeal prominence		Body parts
30	additional			100	additional			Non-physical
31	address (description of the location)	591	ADDRESS	11	address (description of the location)	description of the location of a property, usually with at least a street name and number, name of a town, and now also a postal code; such a description as superscribed for direction on an envelope or letter		N/a
32	adulterer				adulterer	one who commits adultery: a spouse who has sex with a non-spouse		Human being
33	advantage				advantage	superiority of position or condition; a factor or circumstance of benefit to its possessor   (Merriam-Webster)		N/a
34	Advent				Advent	period of the Christian church year between Advent Sunday and Christmas		N/a
35	advice				advice	opinion offered to guide behavior in an effort to be helpful		N/a
36	aër (veil covering vessels in the Orthodox Church)				aër (veil covering vessels in the Orthodox Church)	the largest and outermost of the veils covering the Chalice and Diskos in the Eastern Orthodox Church and the Eastern Catholic Churches which follow the Byzantine Rite		N/a
37	aesthetic perception			100	aesthetic perception			Abstract entities
38	after	1685	AFTER	100	after			Time
39	afterbirth, placenta	3388	PLACENTA	15	afterbirth, placenta	organ in most mammals during gestation that supplies food and oxygen to the foetus and passes back waste. It is on wall of the uterus and links to the foetus through the umbilical cord. It is expelled after birth		N/a
40	afterworld				afterworld	supposed world that is entered after death		N/a
41	again	204	AGAIN	100	again			Time
42	against	2469	AGAINST	19	against	in opposition or hostility to		N/a
43	age	1789	AGE	100	age			Abstract entities
44	age group				age group	None		Artifacts
45	ahead			100	ahead			Space
46	aim, goal			100	aim, goal			Abstract entities
47	air	27	AIR	100	air			Natural objects
48	air, atmosphere	27	AIR	15	air, atmosphere			N/a
49	airplane	1597	AIRPLANE	19	airplane	powered heavier-than-air aircraft with fixed wings		N/a
50	ajvar (vegetable dish)				ajvar (vegetable dish)	dish of chopped vegetables or mushrooms		N/a
51	albugo, wall-eye			100	albugo, wall-eye			Physiology
52	albumen, white of an egg			100	albumen, white of an egg			N/a
53	alder (tree)				alder (tree)	tree or shrub of the genus Alnus		Plants
54	algae			100	algae			Plants
55	alike			100	alike			N/a
56	alive	1422	BE ALIVE	100	alive			Other physical
57	All Saints' Day				All Saints&#39; Day	"a Christian solemnity celebrated in honour of all the saints of the Church; 	1 November (Western Christianity), Sunday after Pentecost (Eastern Christianity)"		N/a
58	all, whole	98	ALL	15	all, whole	throughout the whole of		N/a
59	almond	3815	ALMOND	19	almond			N/a
60	almost			100	almost			Grammatical markers
61	Aloe vera (plant)				Aloe vera (plant)			N/a
62	alone	1964	ALONE	100	alone			Non-physical
63	already	2576	ALREADY	100	already			Time
64	already	2576	ALREADY	100	already			Time
65	alternate-leaved golden-saxifrage				alternate-leaved golden-saxifrage	plant Chrysosplenium alternifolium		N/a
66	although			100	although			Grammatical markers
67	aluminium				aluminium	light, silvery metal extracted from bauxite, and a chemical element (symbol Al) with an atomic number of 13		N/a
68	always	1676	ALWAYS	19	always			N/a
69	amazing	1863	AMAZING	100	amazing			Non-physical
70	amber			100	amber			Natural objects
71	ambience, vibe				ambience, vibe	None		Abstract entities
72	ambush	65	AMBUSH	100	ambush			Abstract entities
73	American			100	American			N/a
74	Amorphophallus paeoniifolius			100	Amorphophallus paeoniifolius	tropical tuber plant, elephant foot yam		N/a
75	anathema				anathema	ban or curse pronounced with religious solemnity by ecclesiastical authority, often accompanied by excommunication		N/a
76	ancestor	1669	ANCESTORS	100	ancestor	one from whom a person is descended, whether on the father&#39;s or mother&#39;s side, at any distance of time; a progenitor		N/a
77	anchor	1870	ANCHOR	19	anchor	tool used to moor a vessel to the bottom of a sea or river to resist movement		N/a
78	anemic				anemic	suffering from anemia		N/a
79	anemone (Anemone)			100	anemone (Anemone)			Plants
80	angel			100	angel			Abstract entities
81	anger	82	ANGER	100	anger			Abstract entities
82	anger	82	ANGER	100	anger			Abstract entities
83	angry	1826	ANGRY	100	angry			Non-physical
84	Anguis fragilis				Anguis fragilis			N/a
85	animal	619	ANIMAL	100	animal			Animals
86	animal bladder				animal bladder	specially treated pig or cow bladder used as window glass		N/a
87	animal yield				animal yield			N/a
88	ankle	803	ANKLE	100	ankle			Body parts
89	ankle bone for playing				ankle bone for playing	astragalus of the ankle of a sheep or goat used for traditional games and fortune-telling		Artifacts
90	annoying				annoying			N/a
91	ant	587	ANT	100	ant	insect of the family Formicidae in the order Hymenoptera, typically living in large colonies		Animals
92	anteater	181	ANTEATER	19	anteater	any of several animals, in suborder Vermilingua, which are noted for eating ants and termites which they catch with their long sticky tongues		N/a
93	antelope	3674	ANTELOPE	100	antelope			Animals
94	anthrax			100	anthrax	acute infectious disease of herbivores, especially sheep and cattle, caused by Bacillus anthracis, and the human disease that can occur in humans through contact with infected herbivores, tissue from infected animals, or high concentrations of anthrax spores, but is not usually spread between humans, with symptoms including lesions on the skin or in the lungs, often fatal		Human being
95	antimony				antimony	chemical element (symbol Sb, from Latin stibium) with an atomic number of 51: a lustrous gray and very brittle metalloid		N/a
96	anvil (of a blacksmith)	1648	ANVIL	11	anvil (of a blacksmith)			N/a
97	anxiety	1000	ANXIETY	19	anxiety	unpleasant state of mental uneasiness, nervousness, apprehension and obsession or concern about some uncertain event		N/a
98	any			100	any			Evaluation
99	aorta				aorta	great artery which carries the blood from the heart to all parts of the body except the lungs; the main trunk of the arterial system		N/a
100	apartment, flat	1633	FLAT	15	apartment, flat			N/a
