NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CERTAINTY	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
101	apical ancestor				apical ancestor	in kinship and descent, a common ancestor from whom a lineage or clan may trace its descent. The ancestor who is at the apex of the genealogy		N/a
102	appearance; look	1819	LOOK	15	appearance; look			N/a
103	appetite				appetite	desire to eat food or consume drink		N/a
104	apple	1320	APPLE	100	apple			Plants
105	approximately			100	approximately	imprecise but close to in quantity or amount		Abstract entities
106	apricot	3730	APRICOT	19	apricot	round sweet and juicy stone fruit, resembling peach or plum in taste, with a yellow-orange flesh, lightly fuzzy skin and a large seed inside; apricot tree, Prunus armeniaca		N/a
107	April	2847	APRIL	19	April	fourth month of the Gregorian calendar, following March and preceding May		N/a
108	Aquarius (constellation)				Aquarius (constellation)			N/a
109	arbalest, crossbow	3193	CROSSBOW	15	arbalest, crossbow	ranged weapon using an elastic launching device consisting of a bow-like assembly, mounted horizontally on a main frame, which is hand-held in a similar fashion to the stock of a long firearm		N/a
110	arc	876	ARCH	100	arc			Artifacts
111	Arctic fox			100	Arctic fox	mammal Vulpes lagopus, a fox-like carnivore of the family Canidae living in the Arctic regions of North America and Eurasia		Animals
112	Aries				Aries	constellation of the zodiac supposedly shaped like a ram		N/a
113	arm	1673	ARM	19	arm	the part between the shoulder and the wrist		N/a
114	armadillo	1885	ARMADILLO	19	armadillo	any of the burrowing mammals covered with bony, jointed, protective plates, order Cingulata, found in the Americas, especially in South America		N/a
115	armpit	1886	ARMPIT	100	armpit	cavity beneath the junction of the arm and shoulder		Body parts
116	army	1561	ARMY	100	army	large, highly organized military force		Human being
117	arrogance				arrogance			N/a
118	arrogant				arrogant	having or revealing an exaggerated sense of one&#39;s own importance or abilities		N/a
119	arrow	977	ARROW	100	arrow	projectile consisting of a shaft, a point and a tail with stabilizing fins that is shot from a bow		Artifacts
120	arrow fletching				arrow fletching	feathers of an arrow used to stabilize the longitudinal axis of the projectile parallel to the flight path		N/a
121	arterial (blood)				arterial (blood)	blood purified from carbon dioxide and saturated with oxygen (oxygenated), in contrast to venous blood		N/a
122	artery	1925	ARTERY	19	artery	blood vessels forming part of the circulation system by which blood is conveyed away from the heart		N/a
123	artichoke				artichoke			N/a
124	as, like	1117	LIKE	15	as, like			N/a
125	ash (tree)			100	ash (tree)			Plants
126	ashes	646	ASH	100	ashes			Natural objects
127	Asiatic dock				Asiatic dock	Rumex confertus, a plant species in the family Polygonaceae		Human being
128	asleep				asleep			N/a
129	asp (fish)				asp (fish)	(Aspius aspius, Leuciscus aspius) a European freshwater fish of the Cyprinidae family		N/a
130	aspen	903	ASPEN	100	aspen			Plants
131	asphodel				asphodel	plant of the genus Asphodelus		N/a
132	aspic (dish)				aspic (dish)	dish in which ingredients are set into a gelatine, jelly-like substance made from a meat stock or consommé		N/a
133	assistant				assistant	person who assists or helps someone else		N/a
134	astringent	3837	ASTRINGENT	19	astringent			N/a
135	atheist			100	atheist	person who does not believe in deities		Human being
136	attack (n.)	722	ATTACK	100	attack (n.)	attempt to cause damage, injury to, or death of opponent or enemy		Human being
137	attack of disease			100	attack of disease	(medicine) the sudden onset of a disease or condition		Human being
138	attentive	1908	ATTENTIVE	100	attentive			Non-physical
139	auger, gimlet				auger, gimlet			N/a
140	August	2851	AUGUST	100	August			Time
141	aunt	1272	AUNT	100	aunt			N/a
142	aunt (father's brother's wife)	1272	AUNT	11	aunt (father&#39;s brother&#39;s wife)			N/a
143	aunt (father's sister)	1272	AUNT	11	aunt (father&#39;s sister)			N/a
144	aunt (mother's brother's wife)	1272	AUNT	11	aunt (mother&#39;s brother&#39;s wife)			N/a
145	aunt (mother's sister)	1272	AUNT	11	aunt (mother&#39;s sister)			N/a
146	auricle				auricle	visible part of the ear that is outside the head		N/a
147	author				author	originator or creator of a work, especially of a literary composition		N/a
148	automobile				automobile	type of vehicle designed to move on the ground under its own stored power and intended to carry a driver, a small number of additional passengers, and a very limited amount of other load		N/a
149	autumn	1276	AUTUMN	100	autumn	the third of the four seasons, when deciduous trees lose their leaves; typically regarded as being from September 24 to December 22 in parts of the Northern Hemisphere, and the months of March, April and May in the Southern Hemisphere		Time
150	autumn fall of the leaves				autumn fall of the leaves	autumn fall of the leaves		N/a
151	awake	825	AWAKE	19	awake			N/a
152	award				award			N/a
153	away				away			N/a
154	awl	278	AWL	100	awl	pointed instrument for piercing small holes, as in leather or wood		Artifacts
155	awn				awn	bristle or beard of barley, oats, grasses, etc., or any similar bristlelike appendage; arista.		N/a
156	axe	677	AXE	100	axe	tool for felling trees or chopping wood etc. consisting of a heavy head flattened to a blade on one side, and a handle attached to it; also an ancient weapon consisting of a head that has one or two blades and a long handle		Artifacts
157	axle	1769	AXLE	19	axle	pin or spindle on which a wheel revolves, or which revolves with a wheel		N/a
158	(body) side	3344	SIDE (BODY)	100	(body) side			N/a
159	berry	904	BERRY	100	&lt;berry&gt;			Plants
160	beverage, drink	731	BEVERAGE	19	&lt;beverage, drink&gt;			N/a
161	bird	937	BIRD	100	&lt;bird&gt;			Animals
162	blood-sucking insect				&lt;blood-sucking insect&gt;			Animals
163	body part	2213	BODY PART	100	&lt;body part&gt;			N/a
164	building	3396	BUILDING	19	&lt;building&gt;			N/a
165	babble-tube				babble-tube			N/a
166	baby	1289	BABY	19	baby			N/a
167	baby chicken				baby chicken	young rooster or hen		N/a
168	back (body part)	1291	BACK	100	back (body part)			Body parts
169	back of the axe head			100	back of the axe head			Artifacts
170	back of the head	523	BACK OF HEAD	100	back of the head			Body parts
171	back vowels (linguistics)				back vowels (linguistics)			N/a
172	backbone	805	SPINE	19	backbone			N/a
173	backdrop (visual)				backdrop (visual)			N/a
174	backside				backside	back side of anything, the part opposite its front		N/a
175	backwards	2911	BACKWARD	100	backwards			Space
176	bad	1292	BAD	100	bad			Evaluation
177	bad (ethically)	3764	BAD OR EVIL	100	bad (ethically)			Evaluation
178	bad luck	56	BAD LUCK	100	bad luck			Abstract entities
179	bad person	2197	BAD PERSON	100	bad person			Human being
180	bad smell, stench	3704	ODOR (SMELL)	19	bad smell, stench	None		Abstract entities
181	bad weather			100	bad weather			Natural objects
182	bad weather			100	bad weather			Abstract entities
183	bad-smelling, stinking	42	STINKING	100	bad-smelling, stinking			Taste
184	badger (Meles)	3717	BADGER	100	badger (Meles)			Animals
185	bagpipes				bagpipes	musical wind instrument, possessing a flexible bag inflated by bellows, a double-reed melody pipe and up to four drone pipes; any aerophone that produces sound using air from a reservoir to vibrate enclosed reeds		N/a
186	balance weight on scale				balance weight on scale			N/a
187	bald	1125	BALD	100	bald			Other physical
188	bald spot			100	bald spot			Natural objects
189	bald-coot (Fulica atra)			100	bald-coot (Fulica atra)			Animals
190	bamboo	1927	BAMBOO	19	bamboo			N/a
191	bamboo sprout				bamboo sprout	None		N/a
192	banana flower				banana flower			N/a
193	bank, shore	113	SHORE	15	bank, shore			N/a
194	barbel	524	BARBEL	100	barbel			Animals
195	barberry				barberry			N/a
196	bare (feet)			100	bare (feet)			N/a
197	bareback				bareback	without a saddle		N/a
198	bark (of a tree)	1204	BARK	100	bark (of a tree)			Natural objects
199	barley	932	BARLEY	100	barley			Plants
200	barrel	2548	BARREL	100	barrel	round vessel or cask, of greater length than breadth, and bulging in the middle, made of staves bound with hoops, and having flat ends or heads		N/a
201	barrel (of a gun)			100	barrel (of a gun)	metallic tube, as of a gun, from which a projectile is discharged		Artifacts
202	barren (of animals)			100	barren (of animals)			Other physical
203	barrier				barrier	structure that bars passage		N/a
204	base (geometry)	831	BASE	11	base (geometry)			N/a
205	base for beheading				base for beheading			Artifacts
206	basin (vessel)	915	SINK (BASIN)	11	basin (vessel)			Body parts
207	basis	831	BASE	100	basis			Abstract entities
208	basket	1539	BASKET	100	basket			Artifacts
209	bass, low-pitched voice				bass, low-pitched voice			Sound
210	bast, the layer under the bark	3950	LIBER (INNER BARK)	100	bast, the layer under the bark	(botany) phloem, a vascular tissue in land plants primarily responsible for the distribution of sugars and nutrients manufactured in the shoot; fibre made from the phloem of certain plants and used for matting and cord		Natural objects
211	bastard	1947	BASTARD	100	bastard			Human being
212	bat	1793	BAT	19	bat	any of the flying mammals of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous		Animals
213	bath	138	BATHE	19	bath			N/a
214	bathroom				bathroom			N/a
215	battering-ram			100	battering-ram			Artifacts
216	battery	662	BATTERY	19	battery	device used to power electric devices, consisting of a set of electrically connected electrochemical or, archaically, electrostatic cells		N/a
217	battle	579	BATTLE	100	battle			Abstract entities
218	bead	1860	BEAD	100	bead			Artifacts
219	beak	73	BEAK	100	beak			Body parts
220	beam	1132	BEAM	100	beam			Artifacts
221	bean	832	BEAN	100	bean			N/a
222	bear (Ursus)	1820	BEAR	100	bear (Ursus)			Animals
223	bear garlic				bear garlic	Allium ursinum		N/a
224	beard	678	BEARD	100	beard			Body parts
225	bearded man			100	bearded man			Human being
226	bearded vulture				bearded vulture	bird Gypaetus barbatus		N/a
227	bearing (mechanical device)				bearing (mechanical device)	mechanical device that supports another part and/or reduces friction		N/a
228	beautiful	1427	BEAUTIFUL	100	beautiful			Evaluation
229	beautiful girl				beautiful girl			N/a
230	beaver (Castor fiber)	1194	BEAVER	100	beaver (Castor fiber)			Animals
231	because of	2918	BECAUSE OF	100	because of			Grammatical markers
232	bed	1663	BED	100	bed			Artifacts
233	bed canopy				bed canopy			N/a
234	bed-clothes				bed-clothes			N/a
235	bedbug (Cimex lectularius)	1949	BEDBUG	100	bedbug (Cimex lectularius)			Animals
236	bedding (padding)				bedding (padding)			N/a
237	bedsheet				bedsheet			N/a
238	bee	665	BEE	100	bee			Animals
239	bee swarm			100	bee swarm			N/a
240	beech	1950	BEECH	100	beech			Plants
241	beehive	88	BEEHIVE	100	beehive			N/a
242	beer	1639	BEER	19	beer	alcoholic drink fermented from starch material, commonly barley malt; often with hops or some other substance (like gruit) to impart a bitter flavor		N/a
243	beet (Beta vulgaris)			100	beet (Beta vulgaris)			Plants
244	beetle	2242	BEETLE	100	beetle			Animals
245	before	1882	BEFORE	100	before			Time
246	beggartick				beggartick	plant Bidens sp.		N/a
247	beginning	1557	BEGINNING	100	beginning			Abstract entities
248	behaviour			100	behaviour			Abstract entities
249	behind	1686	BEHIND	100	behind			Space
250	belemnite				belemnite			N/a
251	bell	2246	BELL	100	bell			Artifacts
252	belladonna				belladonna	Atropa belladonna, a toxic perennial herbaceous plant		N/a
253	bellflower (Campanula)			100	bellflower (Campanula)			Plants
254	bellows	3658	BELLOWS	19	bellows			N/a
255	belly	1251	BELLY	100	belly			Body parts
256	beloribitsa				beloribitsa	Stenodus leucichthys, a species of freshwater whitefish in the family Salmonidae. In the strict sense its natural distribution is restricted to the Caspian Sea basin		N/a
257	beloved				beloved			Human being
258	below, down, bottom part	1326	DOWN	15	below, down, bottom part	None		Space
259	belt	772	BELT	100	belt			Artifacts
260	beluga sturgeon				beluga sturgeon	Huso huso, a species of anadromous fish in the sturgeon family		N/a
261	bench	2584	BENCH	19	bench			N/a
262	bend (of a river)			100	bend (of a river)			Natural objects
263	benediction				benediction	short invocation for help, blessing and guidance from God, said on behalf of another person or persons (sometimes at the end of a church worship service)		N/a
264	benefit	2929	BENEFIT	100	benefit			Abstract entities
265	berry	904	BERRY	100	berry			Plants
266	best			100	best			Non-physical
267	best part of something				best part of something			N/a
268	betel	177	BETEL PEPPER VINE	19	betel	an evergreen Indian creeping shrub, Piper betle, whose dried leaves are chewed with betel nut: the betel pepper		N/a
269	betrothal, engagement			100	betrothal, engagement			Abstract entities
270	better				better			N/a
271	big	1202	BIG	100	big			Size
272	bile, gall	1780	BILE	100	bile, gall			Body parts
273	billion	3599	BILLION	19	billion	a thousand million: 1 000 000 000		N/a
274	biotite				biotite	dark brown mica; it is a mixed aluminosilicate and fluoride of potassium, magnesium and iron		N/a
275	birch			100	birch			Plants
276	birch bolete (Leccinum scabrum)				birch bolete (Leccinum scabrum)			N/a
277	bird	937	BIRD	100	bird			Animals
278	bird cherry tree			100	bird cherry tree			Plants
279	bird cherry tree			100	bird cherry tree			Plants
280	bird Nectarinia gutturalis			100	bird Nectarinia gutturalis			Animals
281	bird's foot				bird&#39;s foot			N/a
282	birthmark	1751	BIRTHMARK	100	birthmark			Natural objects
283	biscuit, cookie				biscuit, cookie			N/a
284	bishop			100	bishop			N/a
285	bishop (chess)			100	bishop (chess)			N/a
286	bison	3142	BISON	19	bison			N/a
287	bit (part of horse harness)			100	bit (part of horse harness)			Artifacts
288	bitch	2481	FEMALE DOG	19	bitch	female of a canine animal		N/a
289	Bitis arietans				Bitis arietans			N/a
290	bitter	887	BITTER	100	bitter			Taste
291	bitterling			100	bitterling			Animals
292	bittern (Botaurus)			100	bittern (Botaurus)			Animals
293	black	163	BLACK	100	black			Light and Colour
294	black cloud			100	black cloud			Natural objects
295	black grouse				black grouse	bird Lyrurus tetrix (syn. Tetrao tetrix)		N/a
296	black grouse (Lyrurus)			100	black grouse (Lyrurus)			Animals
297	black radish				black radish	None		Plants
298	blackberry				blackberry			N/a
299	blackcurrant				blackcurrant	Ribes nigrum, a deciduous shrub in the family Grossulariaceae grown for its edible berries		N/a
300	blacksmith	1001	BLACKSMITH	100	blacksmith			Human being
301	blackthorn			100	blackthorn			Plants
302	blade	869	BLADE	100	blade			Artifacts
303	blade	869	BLADE	100	blade			Artifacts
304	blank				blank	free from writing, printing, or marks; having an empty space to be filled in		N/a
305	blanket	806	BLANKET	19	blanket	heavy, loosely woven fabric, usually large and woollen, used for warmth while sleeping or resting		N/a
306	blind	1653	BLIND	100	blind			Other physical
307	blind	1653	BLIND	100	blind			Other physical
308	blind alley				blind alley			N/a
309	blister	1584	BLISTER	19	blister	small bubble between the layers of the skin that contains watery or bloody fluid and is caused by friction and pressure, burning, freezing, chemical irritation, disease or infection		N/a
310	blizzard			100	blizzard			N/a
311	blond person				blond person			N/a
312	blonde				blonde	having a light colour of hair		N/a
313	blood	946	BLOOD	100	blood	vital liquid flowing in the bodies of many types of animals that usually conveys nutrients and oxygen. In vertebrates, it is colored red by hemoglobin, is conveyed by arteries and veins, is pumped by the hear		Natural objects
314	blood vessel	525	BLOOD VESSEL	100	blood vessel	component of the circulatory system, such as an artery, capillary, or vein, that carries blood		Body parts
315	bloodletting				bloodletting	archaic practice of treating illness by removing some blood, believed to be tainted, from the stricken person		N/a
316	blow	175	BLOW (OF WIND)	19	blow			N/a
317	blue	837	BLUE	100	blue			Light and Colour
318	blueberry	2809	BLUEBERRY	19	blueberry			N/a
319	blueflag (Iris)				blueflag (Iris)			N/a
320	blunt	379	BLUNT	100	blunt			Tactile quality
321	board, plank	1227	BOARD	100	board, plank			Artifacts
322	boat	1844	BOAT	19	boat			N/a
323	body	1480	BODY	100	body			Body parts
324	body of water				body of water	significant accumulation of water, covering the Earth, such as a river, lake or a bay		N/a
325	body part	2213	BODY PART	100	body part	any part of an animal organism, such as an organ, limb or extremity		Body parts
326	bog-rosemary				bog-rosemary	Andromeda, plant		N/a
327	Boletus edulis			100	Boletus edulis	edible mushroom Boletus edulis		N/a
328	bone	1394	BONE	100	bone			Body parts
329	bone marrow	1835	MARROW	19	bone marrow	None		Body parts
330	book (n.)	963	BOOK	100	book (n.)			Artifacts
331	book spine				book spine	narrow, bound edge of a book that encloses the inner edges of the pages, facing outwards when the book is on a shelf and typically bearing the title and the author&#39;s and publisher&#39;s name		N/a
332	boredom			100	boredom			Abstract entities
333	boring	905	BORING	100	boring			Non-physical
334	boss	2930	BOSS	100	boss			Human being
335	bothering			100	bothering			N/a
336	bottle	1321	BOTTLE	100	bottle			Artifacts
337	bottom	690	BOTTOM	100	bottom			Space
338	bottom of a dress			100	bottom of a dress			N/a
339	boundary (of land plots)	1010	BOUNDARY	11	boundary (of land plots)	dividing line between two ploughed fields		N/a
340	bouquet				bouquet	bunch of cut flowers		N/a
341	bourrache (Borago)			100	bourrache (Borago)			Plants
342	bow (weapon)	994	BOW	100	bow (weapon)			Artifacts
343	bow, fiddlestick	994	BOW	15	bow, fiddlestick	rod with horsehair (or an artificial substitute) stretched between the ends, used for playing various stringed musical instruments.		N/a
344	bow-legged				bow-legged	having a bowlegs		N/a
345	bow-string	2119	BOW STRING	100	bow-string			Artifacts
346	bowel			100	bowel			Body parts
347	bowels, intestine	1991	INTESTINES	100	bowels, intestine			Body parts
348	box, container	1465	BOX	100	box, container			Artifacts
349	boy	1366	BOY	100	boy			Human being
350	bracelet	1754	BRACELET	100	bracelet			N/a
351	braid (of hair)	1043	BRAID	11	braid (of hair)	weave of three or more strands of hair		N/a
352	brain (cerebrum)	1583	BRAIN	100	brain (cerebrum)			Body parts
353	bran	2362	BRAN	100	bran			Natural objects
354	branch (of a river)	826	BRANCH (BIFURCATION)	100	branch (of a river)			Natural objects
355	branch, twig	3223	BRANCH OR TWIG	100	branch, twig			Natural objects
356	brand, stamp			100	brand, stamp			Artifacts
357	brass	3743	BRASS	19	brass	metallic alloy of copper and zinc		N/a
358	brave	3	BRAVE	100	brave			Non-physical
359	brave person	2226	BRAVE PERSON	100	brave person			Human being
360	bread	1368	BREAD	100	bread			Artifacts
361	bread roll				bread roll	miniature round loaf of bread		N/a
362	breakfast	1322	BREAKFAST	19	breakfast			Abstract entities
363	bream (Abramis)				bream (Abramis)			N/a
364	breast	1402	BREAST	19	breast	A woman&#39;s breast.		N/a
365	breaststroke				breaststroke	swimming stroke in which the swimmer lies face down, the arms being swept forward, outward and back under the water and the legs are kicked like a frog&#39;s		Abstract entities
366	breathing			100	breathing			Physiology
367	breed			100	breed			N/a
368	bribe	1163	BRIBE (AMOUNT)	100	bribe			Abstract entities
369	brick (n.)	1006	BRICK	100	brick (n.)			Artifacts
370	bride	1266	BRIDE	100	bride			Human being
371	bridegroom	3282	GROOM	100	bridegroom			Human being
372	bridge	1011	BRIDGE	100	bridge			Artifacts
373	bridge (of musical imstrument)	1011	BRIDGE	11	bridge (of musical imstrument)	device that supports the strings on a stringed musical instrument		N/a
374	brief			100	brief			Time
375	brilliant, glaring	2228	GLARING	100	brilliant, glaring			Light and Colour
376	broken	588	BROKEN	19	broken			N/a
377	bronze	2313	BRONZE	19	bronze	naturally occurring or man-made alloy of copper in combination with tin		N/a
378	brood, hatch	3116	HATCH (OUT)	15	brood, hatch			N/a
379	broom	245	BROOM	100	broom			Artifacts
380	broom	245	BROOM	100	broom			Artifacts
381	broth	1547	SOUP	100	broth			N/a
382	brothel			100	brothel			Artifacts
383	brother	1262	BROTHER	100	brother			N/a
384	brother-in-law	2314	BROTHER-IN-LAW	19	brother-in-law			N/a
385	brown	2409	BROWN	100	brown			Light and Colour
386	brown	2409	BROWN	100	brown			Light and Colour
387	brown meagre				brown meagre	fish Sciaena umbra		N/a
388	bruise	1148	BRUISE	100	bruise			Physiology
389	brush	1821	BRUSH	19	brush	implement consisting of multiple more or less flexible bristles or other filaments attached to a handle, used for any of various purposes including cleaning, painting, and arranging hair		N/a
390	brushwood			100	brushwood			Natural objects
391	bucket	2052	BUCKET	19	bucket	Typically a watertight, vertical cylinder or truncated cone or square, with an open top and a flat bottom, attached to a semicircular carrying handle called the bail (Wikipedia)		N/a
392	buckthorn (Frangula)			100	buckthorn (Frangula)			Plants
393	buckwheat	2040	BUCKWHEAT	100	buckwheat			Plants
394	bud (of a flower)			100	bud (of a flower)			Plants
395	bud (on a twig)	1684	BUD	100	bud (on a twig)			Natural objects
396	bug (Heteroptera)	1027	BUG	11	bug (Heteroptera)			N/a
397	bulb (of plant)	2617	BULB	100	bulb (of plant)			N/a
398	bull	1008	BULL	100	bull			Animals
399	bullet	1114	BULLET	100	bullet			Artifacts
400	bullhead			100	bullhead			Animals
401	bully			100	bully			Human being
402	bumblebee				bumblebee			N/a
403	burbot				burbot			Animals
404	burdock				burdock			N/a
405	burial				burial			N/a
406	burn (physical injury)	2102	BURN	11	burn (physical injury)	physical injury caused by heat or caustic chemicals		N/a
407	burner			100	burner			Artifacts
408	burrow (of animal)				burrow (of animal)			N/a
409	burstwort (herniaria)				burstwort (herniaria)			N/a
410	bush, shrub			100	bush, shrub			N/a
411	busy	2755	BUSY	19	busy			N/a
412	but, however	3843	BUT	100	but, however			Abstract entities
413	butcher	2569	BUTCHER	19	butcher	person who prepares and sells meat (and sometimes also slaughters the animals)		N/a
414	butt of a log				butt of a log			N/a
