ID	Name	Glottocode	Family	Words
157	Russian	russ1263	Indo-European	2049
122	Turkish	nucl1301	Altaic	1007
153	English	stan1293	Indo-European	946
159	French	stan1290	Indo-European	669
116	Ancient Greek	anci1242	Indo-European	633
158	Spanish	stan1288	Indo-European	573
245	Latin	lati1261	Indo-European	572
169	German	stan1295	Indo-European	547
1093	Serbian	serb1264	Indo-European	541
139	Romanian	roma1327	Indo-European	463
71	Classical Arabic	stan1318	Afro-Asiatic	437
175	Hungarian	hung1274	Uralic	419
812	Croatian	croa1245	Indo-European	402
181	Mandarin Chinese	mand1415	Sino-Tibetan	398
161	Italian	ital1282	Indo-European	352
149	Sanskrit	sans1269	Indo-European	341
304	Tamil	tami1289	Dravidian	334
119	Amharic	amha1245	Afro-Asiatic	323
706	Batsbi	bats1242	Northeast Caucasian	313
109	Mongolian (Khalkha)	halh1238	Altaic	309
24	Norwegian	norw1258	Indo-European	300
135	Swedish	swed1254	Indo-European	298
173	Danish	dani1285	Indo-European	292
222	Yakut	yaku1245	Altaic	287
176	Armenian	nucl1235	Indo-European	279
171	Polish	poli1260	Indo-European	274
244	Komi	komi1268	Uralic	271
163	Lezgian	lezg1247	Northeast Caucasian	266
174	Czech	czec1258	Indo-European	258
252	Icelandic	icel1247	Indo-European	258
232	Japanese	nucl1643	Altaic	257
141	Finnish	finn1318	Uralic	245
130	Geez	geez1241	Afro-Asiatic	244
380	Swahili	swah1253	Atlantic–Congo	242
138	Ukrainian	ukra1253	Indo-European	218
260	Tigrinya	tigr1271	Afro-Asiatic	214
110	Bulgarian	bulg1262	Indo-European	212
211	Gagauz	gaga1249	Altaic	212
142	Udmurt	udmu1245	Uralic	207
178	Farsi	fars1254	Indo-European	207
224	Karaim	kara1464	Altaic	204
257	Tibetan	tibe1272	Sino-Tibetan	194
85	Kannada	nucl1305	Dravidian	186
117	Portuguese	port1283	Indo-European	182
324	Indonesian	indo1316	Austronesian	182
255	Dutch	dutc1256	Indo-European	178
136	Tabassaran	taba1259	Northeast Caucasian	177
126	Lithuanian	lith1251	Indo-European	175
371	Khmer	cent1989	Austroasiatic	174
450	Hill Mari	west2392	Uralic	172
238	Meadow Mari	mari1278	Uralic	170
239	Modern Greek	mode1248	Indo-European	159
355	Thai	thai1261	Kra–Dai	159
201	Akkadian	akka1240	Afro-Asiatic	155
219	Erzya	erzy1239	Uralic	147
7	Lao	laoo1244	Kra–Dai	146
166	Vietnamese	viet1252	Austroasiatic	145
242	Belarusan	bela1254	Indo-European	142
60	Burmese	nucl1310	Sino-Tibetan	141
184	Azerbaijani	mode1262	Altaic	138
261	Tigre	tigr1270	Afro-Asiatic	135
111	Bashkir	bash1264	Altaic	127
179	Kazakh	kaza1248	Altaic	127
137	Ancient Hebrew	anci1244	Afro-Asiatic	126
330	Malay	stan1306	Austronesian	125
160	Old East Slavic	oldr1238	Indo-European	123
185	Selkup	selk1253	Uralic	123
247	Tundra Yukaghir	nort2745	Yukaghir	120
395	Karelian	kare1335	Uralic	119
375	Tagalog	taga1270	Austronesian	118
237	Estonian	esto1258	Uralic	117
148	Tuvan	tuvi1240	Altaic	116
272	Zulu	zulu1248	Atlantic–Congo	113
861	Khamnigan Mongol	kham1281	Altaic	113
151	Evenki	even1260	Altaic	109
536	Abaza	abaz1241	Northwest Caucasian	109
600	Veps	veps1250	Uralic	109
282	Adyghe	adyg1241	Northwest Caucasian	108
129	Aghul	aghu1253	Northeast Caucasian	107
165	Tatar	tata1255	Altaic	107
210	Irish Gaelic	iris1253	Indo-European	107
218	Moksha	moks1248	Uralic	107
243	Ingush	ingu1240	Northeast Caucasian	107
248	Buriat	buri1258	Altaic	107
323	Nganasan	ngan1291	Uralic	106
183	Chukchee	chuk1273	Chukotko-Kamchatkan	104
485	Malak-Malak	mull1237	Malak-Malak	104
339	Koryak	kory1246	Chukotko-Kamchatkan	103
495	Nivkh	gily1242	Nivkh	103
194	Even	even1260	Altaic	102
246	Udihe	udih1248	Altaic	102
393	Maori	maor1246	Austronesian	102
499	Yaqui (Hiaki)	yaqu1251	Uto-Aztecan	102
30	Tofa	kara1462	Altaic	101
